song_id,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q
ML1,MoodyLyrics,There Goes My Baby,Usher,,,,,,relaxed,positive
ML2,MoodyLyrics,On My Mind,Da'Ville,,,,,,relaxed,positive
ML3,MoodyLyrics,Rockstar 101 ,Rihanna,,,,,,relaxed,positive
ML4,MoodyLyrics,Bed,J. Holiday,,,,,,relaxed,positive
ML5,MoodyLyrics,Don't Haffi Dread,Morgan Heritage,,,,,,angry,negative
ML6,MoodyLyrics,My Love Is Your Love,Whitney Houston,,,,,,happy,positive
ML7,MoodyLyrics,Study People,Serani,,,,,,angry,negative
ML8,MoodyLyrics,Spellwork,Austra,,,,,,angry,negative
ML9,MoodyLyrics,Can't Let You Go,Coro,,,,,,happy,positive
ML10,MoodyLyrics,Slam,Beenie Man,,,,,,relaxed,positive
ML11,MoodyLyrics,Love Him Like I Do ,Deitrick Haddon,,,,,,happy,positive
ML13,MoodyLyrics,The Lady In My Life,Maysa,,,,,,happy,positive
ML14,MoodyLyrics,We Got Love,Ryan Shaw,,,,,,happy,positive
ML15,MoodyLyrics,I Love How You Love Me,The Paris Sisters,,,,,,happy,positive
ML16,MoodyLyrics,I Came To Jesus,New Direction,,,,,,sad,negative
ML17,MoodyLyrics,God Great God,Kurt Carr & The Kurt Carr Singers,,,,,,happy,positive
ML18,MoodyLyrics,And I Love Her,Kenny Lattimore,,,,,,happy,positive
ML19,MoodyLyrics,Battlefield,Jordin Sparks,,,,,,angry,negative
ML20,MoodyLyrics,You Got Yr. Cherry Bomb,Spoon,,,,,,angry,negative
ML21,MoodyLyrics,Peace Of God,Tarralyn Ramsey,,,,,,relaxed,positive
ML22,MoodyLyrics,One,Tyrese,,,,,,relaxed,positive
ML23,MoodyLyrics,Where'd All The Time Go?,Dr. Dog,,,,,,sad,negative
ML24,MoodyLyrics,Unconditional Love,Tarralyn Ramsey,,,,,,happy,positive
ML25,MoodyLyrics,Steppin' Into Love,Kool & The Gang,,,,,,happy,positive
ML26,MoodyLyrics,Darkness At The Bottom,Anders Osborne,,,,,,sad,negative
ML27,MoodyLyrics,Gimme Shelter,The Rolling Stones,,,,,,angry,negative
ML28,MoodyLyrics,Happy,The Rolling Stones,,,,,,happy,positive
ML29,MoodyLyrics,Detroit City,Bobby Bare,,,,,,relaxed,positive
ML30,MoodyLyrics,Got No Reason Now For Goin' Home,Gene Watson,,,,,,relaxed,positive
ML31,MoodyLyrics,El Rey,George Strait,,,,,,sad,negative
ML32,MoodyLyrics,Don't Worry,Playing For Change,,,,,,relaxed,positive
ML33,MoodyLyrics,Melody,The Rolling Stones,,,,,,relaxed,positive
ML34,MoodyLyrics,Fixed,Stars,,,,,,sad,negative
ML35,MoodyLyrics,Home,Glasser,,,,,,relaxed,positive
ML36,MoodyLyrics,Where Is The Love,Betty Wright,,,,,,happy,positive
ML37,MoodyLyrics,You Are Not Alone,Mavis Staples,,,,,,angry,negative
ML38,MoodyLyrics,Not Fade Away,The Rolling Stones,,,,,,happy,positive
ML39,MoodyLyrics,God Only Knows,The Beach Boys,,,,,,happy,positive
ML40,MoodyLyrics,Blind,Korn,,,,,,sad,negative
ML41,MoodyLyrics,Angry Again,Megadeth,,,,,,angry,negative
ML42,MoodyLyrics,Do You Call My Name,Ra,,,,,,angry,negative
ML44,MoodyLyrics,Scream With Me,Mudvayne,,,,,,angry,negative
ML45,MoodyLyrics,Dirthouse,Static-X,,,,,,sad,negative
ML46,MoodyLyrics,Cyanide,Metallica,,,,,,sad,negative
ML47,MoodyLyrics,Longview,Green Day,,,,,,sad,negative
ML48,MoodyLyrics,Rape Me,Nirvana,,,,,,angry,negative
ML49,MoodyLyrics,Sweet Dreams ,Marilyn Manson,,,,,,angry,negative
ML50,MoodyLyrics,Mudshovel,Staind,,,,,,angry,negative
ML51,MoodyLyrics,This Love,Pantera,,,,,,happy,positive
ML52,MoodyLyrics,Send The Pain Below,Chevelle,,,,,,angry,negative
ML53,MoodyLyrics,Scar Tissue,The Red Hot Chili Peppers,,,,,,sad,negative
ML54,MoodyLyrics,Harvester Of Sorrow,Metallica,,,,,,angry,negative
ML55,MoodyLyrics,Civil War,Guns N' Roses,,,,,,angry,negative
ML56,MoodyLyrics,King Of Nothing,Shadows Fall,,,,,,angry,negative
ML57,MoodyLyrics,Do Yourself A Favor,Comeback Kid,,,,,,sad,negative
ML58,MoodyLyrics,Superbeast,Rob Zombie,,,,,,sad,negative
ML59,MoodyLyrics,Why Go,Pearl Jam,,,,,,relaxed,positive
ML60,MoodyLyrics,Rock You Like A Hurricane,Scorpions,,,,,,angry,negative
ML61,MoodyLyrics,Terrible Lie,Nine Inch Nails,,,,,,angry,negative
ML62,MoodyLyrics,Wicked Garden,Stone Temple Pilots,,,,,,angry,negative
ML63,MoodyLyrics,Bullet With Butterfly Wings,Smashing Pumpkins,,,,,,angry,negative
ML64,MoodyLyrics,Come As You Are,Nirvana,,,,,,angry,negative
ML66,MoodyLyrics,Everything I've Known,Korn,,,,,,angry,negative
ML67,MoodyLyrics,Indestructible,Disturbed,,,,,,angry,negative
ML68,MoodyLyrics,Riot,Three Days Grace,,,,,,angry,negative
ML69,MoodyLyrics,Free And Easy ,Dierks Bentley,,,,,,relaxed,positive
ML70,MoodyLyrics,When The Sun Goes Down ,Kenny Chesney,,,,,,relaxed,positive
