song|artist|lyrics|genre|emotion_4Q|emotion_2Q
Rock And Roll|Led Zeppelin|[Verse 1] It's been a long time since I rock and rolled It's been a long time since I did the stroll Ooh, let me get it back, let me get it back, let me get it back Baby, where I come from It's been a long time, been a long time Been a long lonely, lonely, lonely, lonely, lonely time, yes, it has  [Verse 2] It's been a long time since the book of love I can't count the tears of a life with no love Carry me back, carry me back, carry me back Baby, where I come from, whoa-oh, whoa It's been a long time, been a long time Been a long lonely, lonely, lonely, lonely, lonely time  [Guitar Solo] Ahh! Ahh!  [Verse 3] Ohh, it seems so long since we walked in the moonlight Making vows that just can't work right Ah, yeah, open your arms, open your arms, open your arms Baby, let my love come running in, yeah It's been a long time, been a long time Been a long lonely, lonely, lonely, lonely, lonely time  [Refrain] Yeah, hey, yeah, hey Yeah, hey, yeah, hey Ooh, yeah, ooh, yeah Ooh, yeah, ooh, yeah It's been a long time, been a long time Been a long lonely, lonely, lonely, lonely, lonely time|Rock|sad|negative
I Hate Myself For Loving You|Joan Jett & The Blackhearts|[Verse 1] Midnight, gettin' uptight, where are you? You said you'd meet me, now it's quarter to two I know I'm hangin' but I'm still wantin' you Hey Jack, it's a fact they're talkin' in town I turn my back and you're messin' around I'm not really jealous, don't like lookin' like a clown  [Pre-Chorus] I think of you every night and day You took my heart and you took my pride away  [Chorus] I hate myself for loving you Can't break free from the things that you do I wanna walk but I run back to you That's why I hate myself for loving you Ow! Uh  [Verse 2] Daylight, spent the night without you But I've been dreamin' 'bout the lovin' you do I'm over bein' angry 'bout the hell you put me through Hey, man, bet you can treat me right You just don't know what you was missin' last night I wanna see you begging, say forget it just for spite  [Pre-Chorus] I think of you every night and day You took my heart and you took my pride away  [Chorus] I hate myself for loving you Can't break free from the things that you do I wanna walk but I run back to you That's why I hate myself for loving you Ow! Uh  [Guitar Solo]  [Pre-Chorus] I think of you every night and day You took my heart and you took my pride away  [Chorus] I hate myself for loving you Can't break free from the things that you do I wanna walk but I run back to you That's why I hate myself for loving you Ow! Uh  [Chorus] I hate myself for loving you Can't break free from the things that you do I wanna walk but I run back to you That's why I hate myself for loving you Ow! Uh  [Outro] I hate myself for loving you I hate myself for loving you I hate myself for loving you I hate myself I hate myself for loving you||angry|negative
A View To A Kill|Duran Duran|[Verse 1] Meeting you with a view to a kill Face to face in secret places, feel the chill  Nightfall covers me, but you know the plans I'm making Still overseas, could it be the whole Earth opening wide A sacred why, a mystery gaping inside A week is why, until we...  [Chorus] Dance into the fire That fatal kiss is all we need Dance into the fire To fatal sounds of broken dreams Dance into the fire That fatal kiss is all we need Dance into the fire  [Verse 2] The choice for you is the view to a kill Between the shades assassination standing still  The first crystal tears fall as snowflakes on your body First time in years to drench your skin in lover's rosy stain A chance to find the phoenix for the flame A chance to die, but can we... [Chorus] Dance into the fire That fatal kiss is all we need Dance into the fire To fatal sounds of broken dreams Dance into the fire That fatal kiss is all we need Dance into the fire  When all we see is the view to a kill|New Wave|angry|negative
Moments In Love|The Art Of Noise|[Refrain] Moments Moments Moments Moments In love In love In love Moments In love In love Moments Moments in love In love Moments In love In love Moments in love Moments in love Moments in love Moments in love In (In), love (Love) In (In), love (Love) In (In), love (Love) In (In), love (Love)  [Bridge] Now, now, now Now, now (Ahh), now Now, now, now (Ahh) Now, now (Ahh), now, now (Ahh) Now, now, now, now, now, now, now  [Refrain] Moments in love Moments in love Moments in love Moments in love Moments in love Moments in love Moments in love Moments in love Moments in love Moments in love Moments in love Moments in love (In love) Moments in love Moments in love Moments in love Moments in love (Love, love) Mo—||happy|positive
All You Need Is Love|The Beatles|[Intro] Love, love, love Love, love, love Love, love, love  [Verse 1] (Love) There's nothing you can do that can't be done (Love) Nothing you can sing that can't be sung (Love) Nothing you can say, but you can learn how to play the game It's easy  [Verse 2] (Love) Nothing you can make that can't be made (Love) No one you can save that can't be saved (Love) Nothing you can do, but you can learn how to be you in time It's easy  [Chorus] All you need is love All you need is love All you need is love, love Love is all you need  [Bridge] Love, love, love Love, love, love Love, love, love  [Chorus] All you need is love All you need is love All you need is love, love Love is all you need  [Verse 3] (Love) There's nothing you can know that isn't known (Love) Nothing you can see that isn't shown (Love) There's nowhere you can be that isn't where you're meant to be It's easy  [Chorus] All you need is love All you need is love All you need is love, love Love is all you need  [Outro – Fading] All you need is love (All together now) All you need is love (Everybody) All you need is love, love Love is all you need Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) (Irru! Yehey!) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) (Yesterday) Oh, love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) (Oh, yeah) Love is all you need (Love is all you need) (She loves you, yeah, yeah, yeah) (She loves you, yeah, yeah, yeah) Love is all you need (Love is all you need) Love is all you need (Love is all you need) (Woohoo!) Love is all you need (Love is all you need) (Woohoo!) Love is all you need (Love is all you need) (Oh, yesterday) Love is all you need (Love is all you need) Love is all you need (Love is all you need)|Rock & Roll|happy|positive
My Heart's Already There|Newsong|All right  I know that Heaven is real I feel it in my heart And it's a place I long for Because it's where You are So if tomorrow You decide that it's time Hey, Lord, I'm ready To leave this world behind  'Cause my heart is already there In Heaven with You Ain't it funny what love can do And my heart is already there And though I know my place now is here My heart is already there  I know You're coming back soon, Lord I can see the signs Tellin' everyone about You They're running out of time I know You're waiting 'Cause You want them to see How much of Heaven, Lord Is living in me  And my heart is already there In Heaven with You Ain't it funny what love can do And my heart is already there And though I know my place now is here My heart is already there  It's getting harder to wait Lord, I live for the day When I see Your face I just wanna see Your face  'Cause my heart is already there In Heaven with You Ain't it funny what love can do And my heart is already there And though I know my place now is here My heart is already there  My heart is already there In Heaven with You Ain't it funny what love can do And my heart is already there And though I know my place now is here My heart is already there  'Cause my heart is already there In Heaven with You Ain't it funny what love can do And my heart is already there And though I know my place now is here My heart is already there  (My heart) In Heaven with You My heart is already there...||happy|positive
Jump Into The Fire|Harry Nilsson|[Verse 1] You can climb a mountain You can swim the sea You can jump into the fire But you'll never be free You can shake me up Or I can bring you down Whoa-oh-oh-oh-oh Whoa-oh-oh-oh-oh  [Chorus] We can make each other happy Oh, we can make each other happy We can make each other happy We can make each other happy  [Verse 2] You can climb a mountain You can swim the sea You can jump into the fire But you’ll never be free, no, no You can shake me up Or I can bring you down Whoa-oh-oh-oh-oh Whoa-oh-oh-oh-oh  [Chorus] We can make each other happy Oh, we can make each other happy We can make each other happy We can make each other happy Whoa!  [Verse 3] You can climb a mountain You can swim the sea You can jump into the fire But you’ll never be free, no, no You can shake me up Or I can bring you down Whoa-oh-oh-oh-oh Whoa-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh  [Chorus] We can make each other happy We can make each other happy We can make each other happy We can make each other happy  [Outro] Whoa! Oh-oh-oh-oh-oh Whoa!||happy|positive
For The Love Of Money|The O'Jays|[Intro] Money, money, money, money, money Money, money, money, money, money Money, money, money, money, money Money, money, money, money, money Money, money, money, money, money Money, money, money, money, money  [Verse 1] Some people got to have it, yeah Some people really need it, huh, listen to me y'all Do things, do things, do things, bad things with it Well You wanna do things, do things, do things, good things with it Yeah, uh-huh, talk about Cash money, money Talk about cash money, dollar bills, y'all, come on now Yeah, yeah, girl, yeah  [Chorus] For the love of money (People will steal from their mother) For the love of money (People will rob their own brother) For the love of money (People can't even walk the street) Because they never know who in the world they're gonna meet For that mean, oh mean Mean green, almighty dollar, cash money For the love of money (People will lie, rob, they will cheat) For the love of money (People don't care who they hurt or beat) For the love of money (A woman will sell her precious body) For a small piece of paper, it carries a lot of weight For that mean, mean, mean, mean Mean green, almighty dollar, talkin' 'bout, talkin' 'bout  [Verse 2] I know that money is the root of all evil Do funny things to some people Give me a nickel, brother, can you spare a dime? Money can drive some people out of their minds  [Chorus] For the love of money (No good, no good, no good) For the love of money (Don't sell your soul for the money, no, no) For the love of money (Lay down, lay down, women will)  [Instrumental Break]  [Verse 3] Money is the root of all evil Do funny things to some people Give me a nickel, brother, can you spare a dime? Money can drive some people out of their minds  [Chorus] For the love of money (Got to have it, I really need it) For the love of money (Give it up, give it up, give it up, yeah) For the love of money (Got to have it, some people really need it) For the love of money (Give me, give me, give me cash money) For the love of money (I need, I need) For the love of money (Give me, give me, give me) For the love of money (A little bit) For the love of money (How many things have I heard you say?) For the love of money (Don't let it, don't let it, don't let money rule you) For the love of money (How many things have I heard you say?) For the love of money (Don't let it, don't let it, don't let money fool you) For the love of money (Yeah, yeah, yeah, yeah) For the love of money (Got to have it, I really need it)  [Post-Chorus] Don't do it Save your soul, save your soul, don't sell it For that mean, mean, mean, mean green  [Outro] People, don't let money Don't let money change you, almighty dollar People, don't let money Don't let money change you, almighty dollar Changin', changin' up your mind Changin', changin' up your mind People, don't let money Don't let money change you, almighty dollar People, don't let money Don't let money change you, almighty dollar Changin', changin' up your mind Changin', changin' up your mind People, don't let money Don't let money change you, almighty dollar People, don't let money|Soul|happy|positive
Family Affair|Sly & The Family Stone|[Chorus] It's a family affair It's a family affair It's a family affair It's a family affair  [Verse 1] One child grows up to be Somebody that just loves to learn And another child grows up to be Somebody you'd just love to burn  [Verse 2] Mom loves the both of them You see, it's in the blood Both kids are good to mom Blood's thicker than the mud  [Chorus] It's a family affair It's a family affair It's a family affair It's a family affair Over there, world gone bad  [Verse 3] Newlywed a year ago But you're still checking each other out, hey Nobody wants to blow Nobody wants to be left out, uh-huh  [Verse 4] You can't leave 'cause your heart is there But, sure, you can't stay 'cause you been somewhere else You can't cry 'cause you'll look broke down But you're cryin' anyway 'cause you're all broke down  [Chorus] It's a family affair It's a family affair It's a family affair It's a family affair Oh, hey, a family affair It's a family affair It's a family affair  It's a family affair It's a family affair It's a family affair (It's a family affair) It's a family affair Well  It's a family affair It's a family affair|Rock|relaxed|positive
Ever Fallen In Love|Fine Young Cannibals|[Verse 1] You spurn my natural emotions You make me feel like dirt and I'm hurt And if I cause a commotion I only end up losing you and that's worse  [Chorus] Ever fallen in love with someone Ever fallen in love, in love with someone Ever fallen in love, in love with someone You shouldn't've fallen in love with?  [Verse 2] I can't see much of a future Unless we find out now just what's to blame And we won't be together much longer Unless we realize that we're both the same That's what I'm saying  [Chorus] Ever fallen in love with someone Ever fallen in love, in love with someone Ever fallen in love, in love with someone You shouldn't've fallen in love with?  [Instrumental Break]  [Verse 3] You spurn my natural emotions You make me feel like dirt and I'm hurt And if I cause a commotion I only end up losing you and that's worse Much worse  [Chorus] Ever fallen in love with someone Ever fallen in love, in love with someone Ever fallen in love, in love with someone You shouldn't've fallen in love with?  [Outro] Did you ever fall in love? Did you ever fall in love? Did you ever, did you ever Did you ever? Did you ever fall in love? Did you ever fall in love? Did you ever, did you ever Did you ever?|Pop|happy|positive
