song_id,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q,lyrics,language
ML1,MoodyLyrics4Q,I Want Your Sex,George Michael,,,,,,happy,positive,"[Verse 1] There's things that you guess And a-things a-that you know There's boys you can trust And a-girls that you don't There's little things you hide And little things that you show Sometimes you think you're gonna get it But you don't and that's just the way it goes  [Pre - Chorus] I swear I won't tease you Won't tell you no lies Yeah Don't need no bible Just look in my eyes I've awaited so long, baby Now that we're friends Every man's got his patience And here's where mine ends  [Chorus] I want your sex I want your love I want your sex I want your...sex  [Verse 2] It's playin' on my mind It's dancin' on my soul It's taken so much time So why don't you just let me go? I'd really like to try Oh, I'd really love to know When you tell me you're gonna regret it Then I tell you that I love you, but you still say no  [Pre - Chorus] I swear I won't tease you Won't tell you no lies Yeah Don't need no bible Just look in my eyes (Ooh) I've awaited so long, baby Out in the cold I can't take much more, girl I'm losing control  [Chorus] I want your sex I want your love I want your sex I want your…sex, sex! Ow!  [Bridge] It's natural, it's chemical (Let's do it) It's logical, habitual (Can we do it?) It's sensual, but most of all Sex is something that we should do Sex is something for me and you  Sex is natural, sex is good Not everybody does it But everybody should Sex is natural, sex is fun Sex is best when it's one-on-one One-on-one  [Break] Hoo-ah (Sex) I'm not your father Hoo-ah (Sex) I'm not your brother Hoo-ah (Sex) talk to your sister Hoo-ah (Sex) I am a lover Hoo-ah (Sex) Woo-ooh, ah Hoo-ah (Sex) Hoo-ah (Sex) Ow! C-c-c-c-c-c-come on (Hoo-ah)  [Outro] What's your definition of dirty, baby? What do you consider pornography? Don't you know I love it 'til it hurts me, baby? Don't you think it's time you had sex with me?  What's your definition of dirty, baby? What do you call pornography? Don't you know I love it 'til it hurts me, baby? Don't you think it's time you had sex with me? Ow! Sex with me Ow! Sex with me Mmm, have sex with me (Hoo-ah) C-c-c-c-c-c-come on",en
ML2,MoodyLyrics4Q,Pussy Liquor,Rob Zombie,,,,,,angry,negative,"[Intro: Baby Firefly &  Cheerleader ] Gimme a B Gimme an A Gimme a B Gimme a Y What's that spell? What's that spell? What's that spell? Baby  [Verse 1] Earl had a baby Baby was her name He knew she was crazy Tiny was the same Down behind the shed Slaughtering the hog Slice it on the belly Feed it to the dog  [Pre-Chorus] One, two, three, who should I kill? Every motherfucker running up the hill One, two, three, what should I do? Get fucked up and fuck up you  [Chorus] Pussy liquor Make you sicker Pussy liquor Do it quicker  [Post-Hook: Baby Firefly & Goober] Yeah, we like to get fucked up, fucked up Yeah, I like to get fucked up too Yeah, I bet you do Yeah, we like to get fucked up, fucked up Yeah, I like to get fucked up too Yeah, I bet you do  [Verse 2] Satan had a baby Otis was his name White as a ghost, totally insane Otis loves the girls Young and clean Drowning in a bucket of gasoline  [Pre-Chorus] One, two, three, who should I kill? Every motherfucker running up the hill One, two, three, what should I do? Get fucked up and fuck up you  [Chorus] Pussy liquor Make you sicker Pussy liquor Do it quicker  [Post-Hook: Baby Firefly & Goober] Yeah, we like to get fucked up, fucked up Yeah, I like to get fucked up too Yeah, I bet you do Yeah, we like to get fucked up, fucked up Yeah, I like to get fucked up too Yeah, I bet you do  [Verse 3] Don't they know something He won't tell? Come on, mama Send 'em to a hell Burnin' in the house Spirits are alive A tongue-lashing mama Help 'em to survive  [Pre-Hook] One, two, three, who should I kill? Every motherfucker running up the hill One, two, three, what should I do? Get fucked up and fuck up you  [Hook] Pussy liquor Make you sicker Pussy liquor Do it quicker (Quicker)",en
ML3,MoodyLyrics4Q,12,Katatonia,Metal,,,,,sad,negative,[Chorus] Black theatre of love Violet dancers cast their blood The moon gave me flowers For funerals to come  [Verse 1] 12 shapes bow before her I am still one of them 12 morbid ways to die Her beauty scares me  [Verse 2] I'm falling deeper No more pain to feel Now touch the silence Afraid of hell  [Chorus] Black theatre of love Violet dancers drink my blood The moon gave me flowers For funerals to come  [Outro] I cannot breathe I am losing life The moon paints the skyline blue She died so beautiful,en
ML5,MoodyLyrics4Q,Get Back,Ludacris,Hip-Hop,,,,,angry,negative,"[Intro] Heads up! (Woop, woop) Heads up! (Woop, woop) Here's another one! (Another one) And an-and another one O-o-oh!  [Chorus] Yeek yeek! (Woop, woop) why you all in my ear? Talking a whole bunch of shit that I ain't trying to hear! Get back, motherfucker, you don't know me like that! (Get back, motherfucker, you don't know me like that) Yeek yeek! (Woop, woop) I ain't playing around! Make one false move, I'll take ya down Get back, motherfucker, you don't know me like that! (Get back, motherfucker, you don't know me like that)  [Verse 1] Who-o-o!! S-s-so c'mon, c'mon! Don't get swung on, swung on! It's the knick knack paddywhack, still ride in Cadillacs Family off the street made my homies put the baggies back Still stacking plaques, (Yep!) still action packed! (Yep!) And dough? I keep it flipping like acrobats! That's why I pack a mac, that'll crack 'em back 'Cause on my waist there's more Heat than the Shaq Attack But I ain't speaking about ballin, ballin Just thinking about brawlin' till y'all start bawlin' We all in together now, birds of a feather now Just bought a plane so we changing the weather now So put your brakes on, caps put your capes on Or knock off your block, get dropped and have your face flown 'Cause I'll prove it! Scratch off the music! Like hey, little stupid! Don't make me lose it!!  [Chorus] Yeek yeek! (Woop, woop) why you all in my ear? Talking a whole bunch of shit that I ain't trying to hear! Get back, motherfucker, you don't know me like that! (Get back, motherfucker, you don't know me like that) Yeek yeek! (Woop, woop) I ain't playing around! Make one false move, I'll take ya down Get back, motherfucker, you don't know me like that! (Get back, motherfucker, you don't know me like that)  [Bridge 1: Dolla Boy & Ludacris] I came ( I came ) I saw ( I saw ) I hit 'em right dead in the jaw ( In the jaw ) I came ( I came ) I saw ( I saw ) I hit 'em right dead in the jaw ( In the jaw ) I came ( I came ) I saw ( I saw ) I hit 'em right dead in the jaw ( In the jaw ) I came ( I came ) I saw ( I saw ) I hit 'em right dead in the jaw ( In the jaw )  [Verse 2] See, I caught 'em with a right hook, caught 'em with a jab Caught 'em with an uppercut, kicked 'em in his ass Sent him on his way 'cause I ain't for that talk! No trips to the county, I ain't for that walk! We split like two pins at the end of a lane We'll knock out your spotlight and put an end to your vain Put a DTP pendant at the end of yo' chain Then put the booty of a Swisha at the end of a flame  [Chorus] Yeek yeek! (woop, woop) why you all in my ear? Talking a whole bunch of shit that I ain't trying to hear! Get back, motherfucker, you don't know me like that! (Get back, motherfucker, you don't know me like that) Yeek yeek! (woop, woop) I ain't playing around! Make one false move, I'll take ya down Get back, motherfucker, you don't know me like that! (Get back, motherfucker, you don't know me like that)  [Bridge 2] Hey! You want what with me?! I'mma tell you one time, don't fuck with me! Get down! 'Cause I ain't got nothing to lose And I'm having a bad day, don't make me take it out on you! You want what with me?! I'mma tell you one time, don't fuck with me! Get down! 'Cause I ain't got nothing to lose And I'm having a bad day, don't make me take it out on you!  [Verse 3] Man! 'Cause I don't wanna do that I want to have a good time and enjoy my Jack Sit back and watch the women get drunk as hell So I can wake up in the morning with a story to tell I know it's been a lil while since I been out the house! But now I'm here, you wanna stand around running your mouth?! I can't hear nothing you saying or spitting, so wassup! Don't you see we in the club?! Man, shut the fuck up!!  [Chorus] Yeek yeek! (woop, woop) why you all in my ear? Talking a whole bunch of shit that I ain't trying to hear! Get back, motherfucker, you don't know me like that! (Get back, motherfucker, you don't know me like that) Yeek yeek! (woop, woop) I ain't playing around! Make one false move, I'll take ya down Get back, motherfucker, you don't know me like that! (Get back, motherfucker, you don't know me like that)  [Outro] Ah! We in the Red Light District! Ah! We in the Red Light District! Wh-o-oh! We in the Red Light District! Ah! We in the Red Light District! Wh-o-oh! We in the Red Light District! Wh-o-oh! The Red Light District! Wh-o-oh! The Red Light District! Ah, we in The Red Light District",en
ML6,MoodyLyrics4Q,Violet,Hole,Alternative Rock,,,,,angry,negative,"[Verse 1] And the sky was made of amethyst And all the stars were just like little fish You should learn when to go You should learn how to say, ""No""  [Interlude] Might last a day, yeah Mine is forever Might last a day, yeah Mine is forever  [Pre-Chorus] When they get what they want And they never want it again When they get what they want And they never want it again  [Chorus] Go on, take everything Take everything, I want you to Go on, take everything Take everything, I want you to  [Verse 2] And the sky was all violet I want to give the violent more violence Yeah, I'm the one with no soul One above and one below  [Interlude] Might last a day, yeah Mine is forever Might last a day, yeah Mine is forever  [Pre-Chorus] When they get what they want And they never want it again When they get what they want And they never want it again  [Chorus] Go on, take everything Take everything, I want you to Go on, take everything Take everything, I dare you to  [Verse 3] Well, I told you from the start Just how this would end When I get what I want And I never want it again  [Chorus] Go on, take everything Take everything, I want you to Go on, take everything Take everything, I want you to  [Bridge] It's my lie You're mine, you're mine  [Chorus] Go on, take everything Take everything, I want you to Go on, take everything Take everything, I want you to Go on, take everything Take everything, I want you to Go on, take everything Take everything Take everything Take everything",en
ML7,MoodyLyrics4Q,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,Manic Street Preachers,Alternative Rock,,,,,angry,negative,"[Sampled Intro] Next Thursday you're invited to watch Rising Tide's live coverage of a gala tribute in salute to Ronald Reagan. Host Haley Barbour joins special guest Lady Margaret Thatcher in celebrating the former president's 83rd birthday. Tickets are 1000 Dollars a plate but you can see the event free on GOP TV.  [Verse 1] Images of perfection, suntan and napalm Grenada, Haiti, Poland, Nicaragua Who shall we choose for our morality I'm thinking right now of Hollywood tragedy Big Mac, smack, Phoenix, R., please smile y'all Cuba, Mexico can't cauterise our discipline Your idols speak so much of the abyss Yet your morals only run as deep as the surface  [Chorus] Cool, groovy, morning, fine Tipper Gore was a friend of mine I love a free country The stars and stripes and an apple for mommy  [Bridge] (Conservatives say) ""There ain't no black in the Union Jack"" (Democrats say) ""There ain't enough white in the Stars and Stripes""  [Verse 2] Compton, Harlem, a pimp fucked a priest The white man has just found a new moral saviour Vital stats, how white was their skin Unimportant, just another inner-city drive-by thing Morning, fine, serve your first coffee of the day Real privilege, it will take your problems away Number one, the best, no excuse from me I am here to serve the Moral Majority  [Chorus] Cool, groovy, morning, fine Tipper Gore was a friend of mine I love a free country The stars and stripes and an apple for mommy  [Extended Bridge] Zapruder the first to masturbate The world's first taste of crucified grace (And we say) there's not enough black in the Union Jack (And we say) there's too much white in the Stars and Stripes  [Guitar Solo]  [Outro] Fuck the Brady bill! Fuck the Brady bill! ""If God made man,"" they say ""Sam Colt made him equal""",en
ML8,MoodyLyrics4Q,If You're Gonna Leave,Emerson Hart,,,,,,sad,negative,"Maybe I'm the joker Maybe I'm the fool in your eyes Maybe I'm the weak one Maybe I'm a lie in disguise Maybe I'm angry 'Cause I'm the one who's always wrong But maybe I'm not the one who's so strong  Did you think about it? Did you pull it in and pour it out? Could you live without me? Did you ever really have a doubt? But do you understand it, baby? When you say, “It's over”, it's done Maybe I'm not the one  So if you're gonna leave Yeah, you better get goin' ‘Cause I ain't wastin' no more time On what you did and what you didn't do If you’re gonna leave Yeah, you better start runnin' ‘Cause I ain't wastin' no more time On what might've been  We can stand on reason We can fight about all the things This isn't forever This is more than a wedding ring But do you understand it, baby? When you say, “It's over”, it's done Maybe I'm not the one  So if you're gonna leave Yeah, you better get goin' ‘Cause I ain't wastin' no more time On what I did and what I didn't do If you're gonna leave Yeah, you better start runnin' ‘Cause I ain't wastin' no more time  O-oh, did it happen again? With the things that you wanted For being a friend How did it happen again? Just look onward, baby ‘Cause someday you might need a friend (Friend)  So if you're gonna leave Yeah, you better get goin' ‘Cause I ain't wastin' no more time On what we did and what we didn't do If you’re gonna leave Yeah, you better start runnin' ‘Cause I ain't wastin' no more time  No, I ain't wastin' no more time On what might've been",en
ML9,MoodyLyrics4Q,Architecture of Aggression,Megadeth,Thrash Metal,,,,,angry,negative,"[Instrumental Intro]  [Verse 1] Born from the dark in the black cloak of night To envelop its prey below, deliver to the light To eliminate your enemy, hit them in their sleep And when all is won and lost, the spoils of wars are yours to keep, aw!  [Chorus] Great nations built from the bones of the dead With mud and straw - blood and sweat You know your worth when your enemies Praise your architecture of aggression  [Guitar Solo: Dave Mustaine]  [Hook] Praise your architecture of aggression, ah, huh!  [Verse 2] Ensuing power vacuum, a toppled leader dies His body fuels the power fire and the flames rise to the sky One side of his face, a kiss - the other, genocide Time to pay with your ass, a worldwide suicide  [Chorus] Great nations built from the bones of the dead With mud and straw - blood and sweat You know your worth when your enemies Praise your architecture of aggression  [Interlude] ""Fight for America"" ""Fight for America"" ""Fight for America"" ""Fight for America"" ""Fight for America"" ""Fight for America"" "" Everybody knew that the 15th Of January was the deadline date By kicking the war off, once the war was over People would be able to go home ""  [Guitar Solo: Marty Friedman]  [Verse 1] Born from the dark in the black cloak of night To envelop its prey below, deliver to the light To eliminate your enemy, hit them in their sleep And when all is won and lost, the spoils of wars are yours to keep  [Chorus] Great nations built from the bones of the dead With mud and straw - blood and sweat You know your worth when your enemies Praise your architecture of aggression  Great nations built from the bones of the dead With mud and straw - blood and sweat You know your worth when your enemies Praise your architecture of aggression  [Outro] ""They look like big long snakes (""Fight for America"") Coming up in the air"" ""Medium sized triple-a, um, just (""Fight for America"") Ah tracer bullets"" ""They look like big long snakes (""Fight for America"") Coming up in the air"" ""Fight for America""",en
ML10,MoodyLyrics4Q,Heart of Glass,Blondie,New Wave,,,,,happy,positive,"[Verse 1] Once I had a love, and it was a gas Soon turned out had a heart of glass Seemed like the real thing, only to find Mucho mistrust, love's gone behind  [Verse 2] Once I had a love and it was divine Soon found out I was losing my mind It seemed like the real thing, but I was so blind Mucho mistrust, love's gone behind  [Chorus] In between, what I find is pleasing, and I'm feeling fine Love is so confusing, there's no peace of mind If I fear I'm losing you, it's just no good You're teasing like you do  [Bridge] Once I had a love, and it was a gas Soon turned out had a heart of glass Seemed like the real thing, only to find Mucho mistrust, love's gone behind  [Chorus] Lost inside, adorable illusion, and I cannot hide I'm the one you're using, please don't push me aside We could've made it cruising, yeah Yeah, riding high on love's true bluish light  [Verse 3] Once I had a love and it was a gas Soon turned out to be a pain in the ass Seemed like the real thing, only to find Mucho mistrust, love's gone behind",en
ML1900,MoodyLyrics4Q,Hurt,Christina Aguilera,Pop,,,,,angry,negative,"[Verse 1] Seems like it was yesterday when I saw your face You told me how proud you were, but I walked away If only I knew what I know today Ooh, ooh  [Pre-Chorus] I would hold you in my arms I would take the pain away Thank you for all you've done Forgive all your mistakes There's nothing I wouldn't do To hear your voice again Sometimes I wanna call you But I know you won't be there  [Chorus] Oh, I'm sorry for blaming you For everything I just couldn't do And I've hurt myself by hurting you  [Verse 2] Some days I feel broke inside, but I won't admit Sometimes I just wanna hide 'cause it's you I miss And it's so hard to say goodbye when it comes to this Ooh, ooh, ah  [Pre-Chorus] Would you tell me I was wrong? Would you help me understand? Are you lookin' down upon me? Are you proud of who I am? There's nothing I wouldn't do To have just one more chance To look into your eyes And see you looking back  [Chorus] Oh, I'm sorry for blaming you For everything I just couldn't do And I've hurt myself Oh, oh  [Bridge] If I had just one more day I would tell you how much that I've missed you since you've been away Oh, it's dangerous It's so out of line To try and turn back time  [Outro] I'm sorry for blaming you For everything I just couldn't do And I've hurt myself By hurting you",en
