song_id,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q
ML1,MoodyLyrics4Q,I Want Your Sex,George Michael,,,,,,happy,positive
ML2,MoodyLyrics4Q,Pussy Liquor,Rob Zombie,,,,,,angry,negative
ML3,MoodyLyrics4Q,12,Katatonia,,,,,,sad,negative
ML4,MoodyLyrics4Q,Swinging On A Star,Bing Crosby,,,,,,happy,positive
ML5,MoodyLyrics4Q,Get Back,Ludacris,,,,,,angry,negative
ML6,MoodyLyrics4Q,Violet,Hole,,,,,,angry,negative
ML7,MoodyLyrics4Q,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,Manic Street Preachers,,,,,,angry,negative
ML8,MoodyLyrics4Q,If You're Gonna Leave,Emerson Hart,,,,,,sad,negative
ML9,MoodyLyrics4Q,Architecture of Aggression,Megadeth,,,,,,angry,negative
ML10,MoodyLyrics4Q,Heart of Glass,Blondie,,,,,,happy,positive
ML11,MoodyLyrics4Q,Impossible,The Clientele,,,,,,relaxed,positive
ML12,MoodyLyrics4Q,Love Is All,The Tallest Man on Earth,,,,,,sad,negative
ML13,MoodyLyrics4Q,Silence Is Golden,Garbage,,,,,,angry,negative
ML14,MoodyLyrics4Q,And It Stoned Me,Van Morrison,,,,,,relaxed,positive
ML15,MoodyLyrics4Q,I'm On My Way,The Proclaimers,,,,,,happy,positive
ML16,MoodyLyrics4Q,My Gun Go Off,50 Cent,,,,,,angry,negative
ML17,MoodyLyrics4Q,Mamacita,Collie Buddz,,,,,,happy,positive
ML18,MoodyLyrics4Q,Coming Home,Avenged Sevenfold,,,,,,angry,negative
ML19,MoodyLyrics4Q,How Does It Feel,Avril Lavigne,,,,,,sad,negative
ML20,MoodyLyrics4Q,Never Went to Church,The Streets,,,,,,sad,negative
ML21,MoodyLyrics4Q,Chuckie,Geto Boys,,,,,,angry,negative
ML22,MoodyLyrics4Q,September,David Sylvian,,,,,,relaxed,positive
ML23,MoodyLyrics4Q,The Tide Began To Rise,Demon Hunter,,,,,,sad,negative
ML24,MoodyLyrics4Q,Better Left Unsaid,Lily Holbrook,,,,,,sad,negative
ML25,MoodyLyrics4Q,Illusion,Creed,,,,,,angry,negative
ML26,MoodyLyrics4Q,Matkustaja,Egotrippi,,,,,,sad,negative
ML27,MoodyLyrics4Q,Don't Give Up,The Whitest Boy Alive,,,,,,relaxed,positive
ML28,MoodyLyrics4Q,By the Pain I See in Others,Opeth,,,,,,sad,negative
ML29,MoodyLyrics4Q,Better Than This,Salt The Wound,,,,,,angry,negative
ML30,MoodyLyrics4Q,Aces High,Iron Maiden,,,,,,angry,negative
ML31,MoodyLyrics4Q,The Prettiest Thing,Norah Jones,,,,,,relaxed,positive
ML32,MoodyLyrics4Q,Written,Lamb,,,,,,relaxed,positive
ML33,MoodyLyrics4Q,Rockstar,Nickleback,,,,,,angry,negative
ML34,MoodyLyrics4Q,Megalodon,Mastodon,,,,,,angry,negative
ML35,MoodyLyrics4Q,No One Else,Natalie Walker,,,,,,relaxed,positive
ML36,MoodyLyrics4Q,Country Love Song,Stephen Lynch,,,,,,happy,positive
ML37,MoodyLyrics4Q,Bright Red Star,Stereophonics,,,,,,sad,negative
ML38,MoodyLyrics4Q,Can Can,Bad Manners,,,,,,happy,positive
ML39,MoodyLyrics4Q,Young,Hollywood Undead,,,,,,angry,negative
ML40,MoodyLyrics4Q,The Magnificent Tree,Hooverphonic,,,,,,relaxed,positive
ML41,MoodyLyrics4Q,Quiet Place,Working for a Nuclear Free City,,,,,,relaxed,positive
ML42,MoodyLyrics4Q,Atlantic City,Bruce Springsteen,,,,,,sad,negative
ML43,MoodyLyrics4Q,Invisible,Alison Moyet,,,,,,sad,negative
ML44,MoodyLyrics4Q,We Made You,Eminem,,,,,,happy,positive
ML45,MoodyLyrics4Q,I Hate The Way,Polly Scattergood,,,,,,sad,negative
ML46,MoodyLyrics4Q,Wherever You Are,Ulrich Schnauss,,,,,,relaxed,positive
ML47,MoodyLyrics4Q,We Will All Go Together When We Go,Tom Lehrer,,,,,,happy,positive
