song_id,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q
ML1,MoodyLyrics4Q,I Want Your Sex,George Michael,,,,,,happy,positive
ML2,MoodyLyrics4Q,Pussy Liquor,Rob Zombie,,,,,,angry,negative
ML3,MoodyLyrics4Q,12,Katatonia,,,,,,sad,negative
ML4,MoodyLyrics4Q,Swinging On A Star,Bing Crosby,,,,,,happy,positive
ML5,MoodyLyrics4Q,Get Back,Ludacris,,,,,,angry,negative
ML6,MoodyLyrics4Q,Violet,Hole,,,,,,angry,negative
ML7,MoodyLyrics4Q,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,Manic Street Preachers,,,,,,angry,negative
ML8,MoodyLyrics4Q,If You're Gonna Leave,Emerson Hart,,,,,,sad,negative
ML9,MoodyLyrics4Q,Architecture of Aggression,Megadeth,,,,,,angry,negative
ML10,MoodyLyrics4Q,Heart of Glass,Blondie,,,,,,happy,positive
ML1900,MoodyLyrics4Q,Hurt,Christina Aguilera,,,,,,angry,negative
ML1901,MoodyLyrics4Q,T.V. Eye,The Stooges,,,,,,angry,negative
ML1902,MoodyLyrics4Q,The View From the Afternoon,Arctic Monkeys,,,,,,happy,positive
ML1903,MoodyLyrics4Q,Be Somebody,3 Doors Down,,,,,,sad,negative
ML1904,MoodyLyrics4Q,Sweet Troubled Soul,stellastarr*,,,,,,happy,positive
ML1905,MoodyLyrics4Q,Carry Me Ohio,Sun Kil Moon,,,,,,sad,negative
ML1906,MoodyLyrics4Q,You Make Me Feel (Mighty Real),Sylvester,,,,,,happy,positive
ML1907,MoodyLyrics4Q,Orange Skies,Love,,,,,,relaxed,positive
ML1908,MoodyLyrics4Q,Portrait Of A Cynic,Diary of Dreams,,,,,,sad,negative
ML1909,MoodyLyrics4Q,Professional Widow,Tori Amos,,,,,,angry,negative
ML1910,MoodyLyrics4Q,Marrakech,ATB,,,,,,relaxed,positive
ML1911,MoodyLyrics4Q,Soul Meets Body (Rolling Stone Original),Death Cab For Cutie,,,,,,relaxed,positive
ML1912,MoodyLyrics4Q,Ghosts Of War,Slayer,,,,,,angry,negative
ML1913,MoodyLyrics4Q,Inferno,Lunascape,,,,,,relaxed,positive
ML1914,MoodyLyrics4Q,The Truth,India.Arie,,,,,,relaxed,positive
ML1915,MoodyLyrics4Q,April 8th,Neutral Milk Hotel,,,,,,sad,negative
ML1916,MoodyLyrics4Q,The Other,Isis,,,,,,sad,negative
ML1917,MoodyLyrics4Q,Heir Apparent,Opeth,,,,,,angry,negative
ML1918,MoodyLyrics4Q,The Face of Oblivion,High On Fire,,,,,,angry,negative
ML1919,MoodyLyrics4Q,Bumpy Ride,Mohombi,,,,,,happy,positive
ML1920,MoodyLyrics4Q,Find A Way,Dwele,,,,,,relaxed,positive
ML1921,MoodyLyrics4Q,What'd I Say,Ray Charles,,,,,,happy,positive
ML1922,MoodyLyrics4Q,Home,Above & Beyond,,,,,,relaxed,positive
ML1923,MoodyLyrics4Q,Misery Machine,Marilyn Manson,,,,,,angry,negative
ML1924,MoodyLyrics4Q,Arms Against Atrophy,Titus Andronicus,,,,,,angry,negative
ML1925,MoodyLyrics4Q,Fighting for a Lost Cause,Antimatter,,,,,,sad,negative
ML1926,MoodyLyrics4Q,San Andreas Fault (Remastered LP Version),Natalie Merchant,,,,,,sad,negative
ML1927,MoodyLyrics4Q,Öppna Upp Ditt Fönster,Lisa Ekdahl,,,,,,happy,positive
ML1928,MoodyLyrics4Q,Take Good Care,Liv Kristine,,,,,,relaxed,positive
ML1929,MoodyLyrics4Q,Brick,Ben Folds Five,,,,,,sad,negative
ML1930,MoodyLyrics4Q,Monkey Man,Amy Winehouse,,,,,,happy,positive
ML1931,MoodyLyrics4Q,Photograph,Air,,,,,,relaxed,positive
ML1932,MoodyLyrics4Q,GRIEF,DIR EN GREY,,,,,,angry,negative
ML1933,MoodyLyrics4Q,Animal,Pearl Jam,,,,,,angry,negative
ML1934,MoodyLyrics4Q,This House Is Not For Sale,Ryan Adams,,,,,,relaxed,positive
