term,arousal
aaaaaaah,0.606
aaaah,0.636
abandon,0.519
abashed,0.644
abate,0.696
abba,0.5
abduct,0.72
abduction,0.99
aberrant,0.765
aberration,0.816
abeyance,0.51
abhor,0.602
abhorrence,0.684
abhorrent,0.75
ability,0.51
abject,0.59
ablation,0.5
ablaze,0.847
able,0.5
abnormal,0.604
abnormality,0.655
abolish,0.615
abolition,0.69
abominable,0.731
abominate,0.788
abomination,0.755
abort,0.686
abortion,0.77
abortive,0.776
abracadabra,0.632
abrasion,0.592
abrasive,0.61
abroad,0.596
abrogate,0.51
abrupt,0.819
abruptly,0.808
absinthe,0.51
absolute,0.51
absolution,0.5
absorb,0.558
absurd,0.656
absurdity,0.528
abundance,0.69
abundant,0.59
abuse,0.873
abused,0.874
abusive,0.903
abysmal,0.71
abyss,0.725
accede,0.51
accelerant,0.844
accelerate,0.902
accelerated,0.812
acceleration,0.905
accelerator,0.83
accentuate,0.556
accident,0.908
accidental,0.784
accidentally,0.741
acclaim,0.809
accolade,0.591
accomplice,0.58
accomplish,0.673
accomplished,0.52
accomplishment,0.694
accountability,0.537
accretion,0.519
accumulate,0.536
accumulation,0.527
accursed,0.745
accusation,0.718
accusative,0.755
accuse,0.752
accused,0.67
accuser,0.779
accusing,0.745
ache,0.76
achieve,0.545
achieved,0.519
achievement,0.808
aching,0.88
achy,0.84
acid,0.642
acidity,0.663
acknowledgement,0.539
acknowledgment,0.528
acquiring,0.51
acquisition,0.509
acquisitions,0.66
acquit,0.571
acrobat,0.828
act,0.704
acting,0.643
action,0.898
action figure,0.774
actionable,0.702
activate,0.65
activation,0.8
active,0.73
activist,0.653
activity,0.66
actor,0.561
actress,0.556
acumen,0.66
acute,0.652
acutely,0.543
ad,0.705
adamant,0.529
addict,0.696
addicted,0.712
addiction,0.806
addictive,0.683
additive,0.633
adept,0.539
adhering,0.561
adjournment,0.51
adjudicate,0.52
adjuster,0.54
adjustment,0.52
adjuvant,0.5
admirable,0.6
admiralty,0.547
admiration,0.583
admire,0.692
admired,0.56
admirer,0.72
admiring,0.578
admissibility,0.58
admissible,0.528
admitting,0.5
admonition,0.606
adolescence,0.694
adolescent,0.68
adopt,0.612
adoption,0.566
adorable,0.519
adoration,0.699
adoring,0.62
adrenalin,0.92
adrenaline,0.965
adulterated,0.865
adulterer,0.814
adultery,0.922
advanced,0.623
advancement,0.65
advancing,0.608
advantage,0.548
advantageous,0.64
advent,0.56
adventure,0.857
adventurer,0.839
adventures,0.764
adventurous,0.898
adversary,0.777
adverse,0.61
adversity,0.76
advertise,0.529
advertisement,0.566
advertising,0.608
adverts,0.5
advocacy,0.646
advocate,0.53
aeration,0.5
aerobics,0.771
aerodrome,0.74
aerodynamic,0.724
aerodynamics,0.663
aeronautics,0.633
aeroplane,0.642
aerospace,0.52
affect,0.569
affecting,0.574
affection,0.559
affections,0.547
affidavit,0.584
affiliated,0.519
affiliation,0.594
affinity,0.5
affirm,0.509
affirmation,0.5
affirmative,0.589
affirmatively,0.5
afflict,0.555
afflicted,0.5
affliction,0.635
affluence,0.618
afford,0.58
affront,0.74
affronted,0.75
afire,0.904
afraid,0.775
afresh,0.521
afterlife,0.567
agape,0.529
agglomeration,0.765
aggravate,0.77
aggravated,0.76
aggravates,0.778
aggravating,0.794
aggravation,0.784
aggregation,0.517
aggresive,0.971
aggression,0.929
aggressive,0.949
aggressively,0.926
aggressiveness,0.913
aggressor,0.948
agh,0.5
aghast,0.865
aghhh,0.635
agile,0.657
agility,0.702
agitate,0.796
agitated,0.882
agitation,0.931
aglow,0.51
agonizing,0.8
agony,0.775
agoraphobia,0.712
agreeable,0.5
agressive,0.918
ahead,0.52
ahhh,0.517
ahhhhhhhh,0.649
aiding,0.533
ailing,0.518
ailment,0.734
aim,0.569
airborne,0.519
aircraft,0.644
aircraft carrier,0.74
airfield,0.65
airlift,0.622
airliner,0.777
airlock,0.52
airman,0.716
airplane,0.702
airport,0.684
airspace,0.51
airspeed,0.78
airstrip,0.69
airway,0.585
alarm,0.882
alarm clock,0.727
alarmed,0.822
alarming,0.89
alchemy,0.583
alcohol,0.667
alcoholic,0.688
alcoholism,0.779
alert,0.82
alertness,0.875
alerts,0.804
alibi,0.528
alien,0.615
alienate,0.5
alienation,0.53
alight,0.657
alimentation,0.551
alive,0.637
alkaloids,0.562
allegation,0.578
alleged,0.522
allegorical,0.558
allegory,0.58
allegro,0.627
allergic,0.549
allergy,0.606
alley,0.5
alligator,0.704
allowable,0.5
allsmiles,0.528
allure,0.585
alluring,0.745
almighty,0.874
aloud,0.713
alreadyyyyy,0.717
alter,0.694
alteration,0.798
altercation,0.806
altered,0.765
altimeter,0.51
alzheimers,0.518
amaretto,0.551
amateur,0.5
amaze,0.843
amazed,0.779
amazedness,0.872
amazement,0.8
amazing,0.837
amazingly,0.765
ambassador,0.529
ambition,0.804
ambitious,0.821
ambulance,0.75
ambush,0.83
ameliorate,0.548
ammo,0.765
ammonia,0.587
ammunition,0.635
amorous,0.67
amphetamines,0.667
amplification,0.677
amplify,0.735
amputate,0.66
amputation,0.755
amuck,0.602
amuse,0.684
amused,0.847
amusement,0.837
amusing,0.829
anaconda,0.83
anal,0.798
analytic,0.521
analyzer,0.556
anaphylactic,0.588
anarchism,0.804
anarchist,0.7
anarchy,0.755
ancestry,0.519
androgen,0.523
anecdote,0.529
anemone,0.538
aneurysm,0.69
anger,0.865
angered,0.86
angermanagement,0.632
angina,0.63
angiogram,0.52
angiography,0.536
angriest,0.892
angry,0.83
angrytweet,0.644
angst,0.888
anguish,0.792
anguished,0.72
animal,0.51
animate,0.755
animated,0.676
animation,0.75
animosity,0.724
animus,0.676
annals,0.61
annexation,0.5
annihilate,0.918
annihilated,0.76
annihilation,0.8
anniversary,0.77
announce,0.618
announcer,0.57
annoy,0.765
annoyance,0.718
annoyed,0.783
annoyin,0.573
annoying,0.853
annoys,0.778
anomaly,0.538
anorexic,0.618
answering,0.5
antagonism,0.618
antagonist,0.615
antagonistic,0.604
antagonize,0.663
antecedent,0.551
antelope,0.51
anthill,0.578
anthrax,0.73
antiaircraft,0.622
antichrist,0.837
anticipation,0.539
anticipatory,0.551
antics,0.74
antigravity,0.714
antipathy,0.549
antisocial,0.686
antithetical,0.509
antsy,0.558
anus,0.644
anvil,0.51
anxiety,0.865
anxietyattack,0.925
anxious,0.875
anxiousness,0.814
aorta,0.51
aortic,0.54
apace,0.5
aphrodisiac,0.846
aplomb,0.509
apocalypse,0.867
apocalyptic,0.88
apostasy,0.52
apostate,0.5
appalled,0.792
appalling,0.827
apparition,0.573
appeal,0.598
appear,0.506
appellant,0.588
appendectomy,0.67
appendicitis,0.64
appetite,0.637
appetizer,0.56
appetizing,0.657
applaud,0.824
applause,0.857
applicant,0.558
appointment,0.594
appointments,0.677
appraisal,0.667
appreciates,0.5
appreciation,0.529
apprehend,0.624
apprehension,0.72
apprehensive,0.592
approaching,0.557
approbate,0.59
approbation,0.529
appropriation,0.632
approve,0.548
approvement,0.625
approving,0.583
approximate,0.56
approximating,0.615
aquatic,0.51
arbiter,0.537
arbitrary,0.702
arbitrate,0.62
arbitration,0.602
arcade,0.521
archangel,0.5
archer,0.622
archery,0.604
archetype,0.52
ardent,0.873
ardor,0.78
arduous,0.783
areyoukidding,0.633
areyoukiddingme,0.635
argh,0.538
arghh,0.536
arghhhh,0.618
argue,0.798
argumentation,0.549
argumentative,0.531
arguments,0.602
arise,0.582
aristocracy,0.549
aristocratic,0.519
armada,0.74
armament,0.764
armaments,0.839
armature,0.558
armed,0.75
armor,0.625
armored,0.509
armory,0.663
army,0.759
arousal,0.943
aroused,0.952
arraignment,0.837
arranged,0.531
arrest,0.951
arrhythmia,0.706
arrival,0.51
arrogance,0.75
