term,arousal
aardvark,0.49
aback,0.407
abacus,0.276
abalone,0.48
abandoned,0.481
abandonment,0.43
abatement,0.338
abbey,0.367
abbot,0.321
abbreviate,0.375
abbreviation,0.306
abdomen,0.462
abdominal,0.456
abide,0.354
abiding,0.327
aboard,0.284
abode,0.302
aboriginal,0.427
abound,0.49
abovementioned,0.298
abreast,0.38
abscess,0.451
absence,0.235
absent,0.221
absentee,0.33
absenteeism,0.273
absolve,0.449
absorbed,0.471
absorbent,0.394
absorbing,0.49
absorption,0.422
abstain,0.385
abstention,0.264
abstinence,0.392
abstract,0.292
abstraction,0.439
abutment,0.265
aby,0.452
academic,0.42
academy,0.473
accent,0.357
accept,0.286
acceptable,0.286
acceptance,0.287
acceptances,0.413
access,0.472
accessible,0.41
accession,0.383
accessory,0.292
accommodate,0.375
accommodation,0.415
accompaniment,0.479
accompany,0.406
accompanying,0.46
accord,0.264
accordance,0.349
accordion,0.49
account,0.347
accountable,0.282
accountant,0.45
accounting,0.39
accounts,0.34
accredited,0.479
accrue,0.481
accueil,0.451
accuracy,0.481
accurate,0.36
accustomed,0.365
ace,0.481
acetic,0.42
acetylene,0.469
acknowledge,0.37
acknowledged,0.443
acme,0.435
acne,0.474
acorn,0.198
acoustic,0.462
acoustics,0.33
acquaint,0.491
acquaintance,0.29
acquainted,0.358
acquiescence,0.48
acquire,0.468
acquittal,0.497
acre,0.387
acreage,0.45
acres,0.363
acrylic,0.279
actual,0.4
actuality,0.464
actuary,0.404
acuity,0.378
acupuncture,0.324
adage,0.415
adapt,0.355
adaptable,0.423
adaptation,0.365
add,0.49
added,0.405
addendum,0.37
adder,0.461
addition,0.373
additional,0.462
address,0.327
addressee,0.382
addresses,0.354
adequacy,0.435
adequate,0.264
adhere,0.339
adherence,0.307
adherent,0.385
adhesion,0.445
adhesive,0.35
adieu,0.471
adipose,0.35
adjacency,0.417
adjacent,0.276
adjective,0.316
adjoining,0.4
adjourn,0.456
adjudication,0.462
adjunct,0.44
adjust,0.327
admin,0.42
administer,0.425
administration,0.404
administrative,0.415
administrator,0.48
admiral,0.49
admission,0.415
admit,0.423
admittance,0.451
admitted,0.49
admixture,0.375
ado,0.423
adobe,0.319
adoptive,0.469
adore,0.438
adorn,0.424
adornment,0.373
adrift,0.486
adult,0.491
adulthood,0.454
advance,0.472
advice,0.408
advisable,0.48
advise,0.393
advised,0.33
advisement,0.235
adviser,0.362
advisor,0.35
advisory,0.429
aegis,0.439
aerial,0.461
aesthetic,0.442
aesthetics,0.327
aetiology,0.398
afar,0.373
affable,0.38
affair,0.459
affectionate,0.422
affiche,0.265
affix,0.335
affluent,0.388
affordable,0.398
afield,0.37
afloat,0.427
afore,0.337
aforementioned,0.316
aforesaid,0.358
african,0.423
aft,0.417
aftermath,0.449
afternoon,0.388
aftershave,0.384
aftertaste,0.362
afterthought,0.392
aga,0.327
agate,0.377
age,0.226
aged,0.365
agency,0.296
agenda,0.296
agent,0.439
aggregate,0.378
aging,0.255
agnostic,0.396
ago,0.28
agree,0.26
agreed,0.449
agreeing,0.48
agreement,0.44
agricultural,0.321
agriculture,0.357
aground,0.34
agua,0.18
ahoy,0.497
aid,0.491
aide,0.342
aids,0.48
ail,0.434
aimless,0.267
air,0.163
airbag,0.402
airhead,0.481
airline,0.482
airs,0.196
airship,0.472
airtight,0.381
aisle,0.222
ait,0.39
ajar,0.413
aka,0.358
akin,0.343
alabaster,0.404
alas,0.31
alb,0.38
albatross,0.445
albino,0.24
album,0.349
alcove,0.34
alderman,0.459
ale,0.45
alfalfa,0.25
algebra,0.34
algebraic,0.412
algorithm,0.394
alias,0.353
alienated,0.423
align,0.364
aligned,0.275
alignment,0.412
alike,0.173
alimony,0.477
aliquot,0.31
alkali,0.35
allay,0.406
allege,0.482
allegiance,0.398
alleviate,0.27
alleviation,0.2
alleyway,0.471
alliance,0.473
allied,0.245
allocate,0.462
allocation,0.388
allot,0.481
allotment,0.39
allow,0.429
allowance,0.382
allowed,0.36
alloy,0.443
allusion,0.308
alluvial,0.49
ally,0.32
almanac,0.19
almond,0.183
aloft,0.373
aloha,0.44
alone,0.167
alongside,0.333
aloof,0.423
alpha,0.34
alphabet,0.204
alphabetical,0.296
alpine,0.337
altar,0.387
altar boy,0.206
alternate,0.363
alternating,0.494
alternative,0.373
altitude,0.482
alto,0.404
altogether,0.324
aluminum,0.28
alumnus,0.368
alveolar,0.481
amalgam,0.333
amalgamation,0.47
amass,0.465
amber,0.308
ambience,0.356
ambient,0.36
ambiguity,0.46
ambiguous,0.462
ambit,0.38
ambivalent,0.404
ambrosia,0.452
amen,0.182
amenable,0.41
amend,0.406
amendment,0.459
amends,0.366
amenity,0.327
amethyst,0.406
amiable,0.29
amicable,0.33
amid,0.34
amidst,0.33
amino,0.402
ammonium,0.396
amnesia,0.33
amnesty,0.451
amorphous,0.402
amortization,0.491
amount,0.422
amour,0.48
amp,0.393
ampersand,0.448
amphibian,0.357
amphibious,0.346
amphitheater,0.48
ample,0.349
amplitude,0.439
amply,0.431
amulet,0.26
ana,0.3
anaesthesia,0.217
anaesthetic,0.268
anagram,0.327
analgesic,0.321
analogous,0.27
analogue,0.32
analogy,0.367
analysis,0.448
analyst,0.415
analytical,0.324
analyze,0.462
anastomosis,0.47
anathema,0.49
anatomic,0.442
anatomy,0.39
ancestor,0.388
ancestral,0.481
anchor,0.284
anchorage,0.325
ancient,0.217
ancillary,0.442
android,0.436
anemia,0.327
anemic,0.279
anesthesia,0.216
anesthesiologist,0.224
anesthetic,0.264
anew,0.358
angel,0.158
angelic,0.298
angle,0.33
angling,0.408
angora,0.425
angular,0.281
anhydrous,0.365
ankle,0.274
anklet,0.276
annex,0.35
annexe,0.35
annotate,0.469
annotation,0.47
announcement,0.491
annual,0.236
annuity,0.304
annul,0.448
annular,0.385
annulment,0.375
annulus,0.38
anointed,0.368
anointing,0.35
anomalous,0.48
anon,0.354
anonymity,0.255
anonymous,0.291
answer,0.373
answerable,0.481
ant,0.216
ante,0.32
antenna,0.327
anterior,0.245
anthem,0.343
anthology,0.406
anthropological,0.39
anthropologist,0.385
anthropology,0.367
anti,0.412
antibiotic,0.373
antibiotics,0.406
anticipate,0.469
antidote,0.49
antifungal,0.412
antimony,0.398
antiquarian,0.233
antiquated,0.392
antique,0.29
antiques,0.37
antiquity,0.333
antiseptic,0.37
antithesis,0.412
antiviral,0.47
antler,0.47
anytime,0.461
apache,0.469
apartment,0.393
apartments,0.337
apathetic,0.292
apathy,0.212
ape,0.389
aperture,0.45
apex,0.433
aphid,0.473
apiece,0.259
apologetic,0.461
apologist,0.429
apologize,0.378
apology,0.346
apostle,0.347
apostolic,0.3
apostrophe,0.368
apothecary,0.328
apparatus,0.353
apparel,0.435
apparent,0.383
apparently,0.41
appearance,0.49
appease,0.278
append,0.464
appendage,0.382
appendix,0.387
apple,0.3
apple juice,0.204
applejack,0.431
applesauce,0.167
appliance,0.453
appliances,0.394
applicability,0.49
applicable,0.43
application,0.445
apply,0.321
appoint,0.33
apportion,0.49
apportionment,0.481
appraise,0.49
appreciable,0.491
appreciate,0.422
appreciated,0.434
appreciative,0.38
apprentice,0.413
apprenticeship,0.482
approach,0.392
appropriate,0.368
approval,0.46
approved,0.349
approximately,0.396
approximation,0.402
appurtenances,0.412
apricot,0.32
apron,0.208
apt,0.418
aptitude,0.471
aqua,0.292
aquamarine,0.306
aquarium,0.327
aqueduct,0.411
aqueous,0.27
arable,0.35
arbitrator,0.448
arbor,0.49
arc,0.388
arcane,0.49
arch,0.354
archaeological,0.441
archaeologist,0.451
archaeology,0.358
archaic,0.327
archbishop,0.28
archdiocese,0.321
archduke,0.413
arched,0.403
archipelago,0.37
architect,0.442
architectural,0.39
architecture,0.39
archive,0.294
arctic,0.352
area,0.306
arena,0.235
areola,0.396
argent,0.418
argument,0.464
arid,0.333
aristocrat,0.413
arithmetic,0.46
ark,0.427
arm,0.285
armchair,0.164
armpit,0.439
arms,0.395
aroma,0.235
aromatherapy,0.22
arouse,0.491
arrange,0.49
arrangement,0.382
array,0.396
arrears,0.485
arrive,0.406
arrow,0.39
arsenic,0.472
art,0.36
arthropod,0.464
artichoke,0.218
article,0.28
articles,0.324
articulate,0.462
articulation,0.48
artificial,0.385
artisan,0.33
artist,0.442
artistry,0.346
artwork,0.368
