term,dominance
abate,0.604
abduct,0.615
abduction,0.673
abide,0.705
abiding,0.75
ability,0.816
ablation,0.5
ablaze,0.525
able,0.81
abode,0.5
abolish,0.529
abolition,0.529
abomination,0.518
aboriginal,0.542
abound,0.681
abovementioned,0.509
abrasive,0.593
abreast,0.519
abroad,0.561
abrogate,0.594
abrupt,0.545
abruptly,0.556
absolute,0.827
absolution,0.664
absolve,0.66
absorb,0.67
absorbed,0.519
absorbent,0.718
absorbing,0.578
abstention,0.509
abstraction,0.525
abundance,0.852
abundant,0.76
abusive,0.567
abutment,0.616
abysmal,0.598
academic,0.812
academy,0.792
accede,0.537
accelerant,0.802
accelerate,0.759
accelerated,0.682
acceleration,0.843
accelerator,0.812
accent,0.509
accentuate,0.667
accept,0.565
acceptable,0.583
acceptance,0.755
acceptances,0.648
access,0.567
accessible,0.645
accession,0.636
acclaim,0.718
accolade,0.775
accommodate,0.566
accommodation,0.587
accompaniment,0.695
accompany,0.585
accompanying,0.582
accomplice,0.51
accomplish,0.816
accomplished,0.798
accomplishment,0.888
accordance,0.6
accountability,0.833
accountable,0.777
accountant,0.639
accounting,0.677
accredited,0.768
accretion,0.672
accrue,0.602
accumulate,0.607
accumulation,0.6
accuracy,0.802
accurate,0.737
accusation,0.564
accuse,0.5
accuser,0.615
ace,0.546
acetic,0.519
acetylene,0.509
achieve,0.843
achieved,0.775
achievement,0.759
acid,0.566
acknowledge,0.661
acknowledged,0.765
acknowledgement,0.83
acknowledgment,0.777
acoustic,0.536
acoustics,0.509
acquaint,0.639
acquaintance,0.67
acquainted,0.632
acquiescence,0.554
acquire,0.7
acquiring,0.817
acquisition,0.736
acquisitions,0.79
acquit,0.611
acquittal,0.7
acreage,0.528
acres,0.5
acrobat,0.602
act,0.735
acting,0.5
action,0.802
action figure,0.611
actionable,0.613
activate,0.806
activation,0.754
active,0.731
activist,0.877
activity,0.807
actor,0.629
actress,0.596
actual,0.716
actuality,0.6
acuity,0.741
acumen,0.679
acupuncture,0.549
acute,0.534
ad,0.558
adage,0.566
adamant,0.575
adapt,0.551
adaptable,0.641
adaptation,0.609
add,0.554
added,0.509
adder,0.588
additional,0.526
additive,0.691
address,0.567
addressee,0.538
adept,0.789
adequacy,0.702
adequate,0.705
adhere,0.554
adherence,0.63
adherent,0.555
adhering,0.537
adhesion,0.586
adjacent,0.536
adjective,0.569
adjudicate,0.683
adjudication,0.691
adjust,0.638
adjuster,0.76
adjustment,0.661
admin,0.854
administer,0.86
administration,0.786
administrative,0.579
administrator,0.902
admirable,0.87
admiral,0.847
admiralty,0.733
admiration,0.726
admire,0.704
admired,0.815
admirer,0.65
admiring,0.629
admissibility,0.602
admissible,0.642
admission,0.732
admit,0.667
admittance,0.598
admitted,0.767
admitting,0.546
adolescent,0.509
adopt,0.701
adoption,0.589
adoptive,0.52
adoration,0.708
adore,0.657
adoring,0.717
adrenalin,0.786
adrenaline,0.825
adult,0.787
adultery,0.51
adulthood,0.652
advance,0.858
advanced,0.797
advancement,0.839
advancing,0.812
advantage,0.859
advantageous,0.789
advent,0.627
adventure,0.71
adventurer,0.868
adventures,0.749
adventurous,0.722
adversity,0.538
advertise,0.58
advertisement,0.539
advertising,0.632
adverts,0.595
advice,0.688
advisable,0.51
advise,0.705
advised,0.509
advisement,0.655
adviser,0.705
advisor,0.689
advisory,0.633
advocacy,0.731
advocate,0.818
aerobics,0.627
aerodrome,0.678
aerodynamic,0.728
aerodynamics,0.722
aeronautics,0.688
aeroplane,0.644
aerospace,0.779
aesthetic,0.526
aesthetics,0.549
aetiology,0.615
affair,0.657
affect,0.578
affection,0.696
affectionate,0.55
affections,0.655
affidavit,0.526
affiliated,0.535
affiliation,0.5
affinity,0.537
affirm,0.731
affirmation,0.689
affirmative,0.816
affirmatively,0.811
affluence,0.722
afford,0.575
affront,0.547
affronted,0.527
afire,0.675
african,0.555
aft,0.518
afterlife,0.568
agency,0.583
agenda,0.553
agent,0.755
agglomeration,0.509
aggravating,0.64
aggravation,0.613
aggregate,0.556
aggregation,0.694
aggresive,0.639
aggression,0.533
aggressive,0.648
aggressively,0.688
aggressiveness,0.648
aggressor,0.823
agile,0.775
agility,0.815
agitate,0.593
aglow,0.797
agnostic,0.574
agree,0.545
agreeable,0.696
agreed,0.574
agreeing,0.557
agreement,0.736
agressive,0.751
ahead,0.673
aid,0.541
aiding,0.569
aids,0.5
aim,0.567
aircraft,0.691
aircraft carrier,0.727
airfield,0.645
airlift,0.642
airline,0.688
airliner,0.647
airman,0.721
airplane,0.708
airport,0.682
airship,0.529
airspace,0.64
airspeed,0.544
airstrip,0.649
airtight,0.57
akin,0.523
alarm,0.698
alarm clock,0.642
alarming,0.585
albatross,0.527
alchemy,0.693
alderman,0.691
alert,0.648
alertness,0.75
alerts,0.673
algebra,0.565
algorithm,0.559
alibi,0.556
alienate,0.523
alienated,0.559
alight,0.605
align,0.627
aligned,0.553
alignment,0.683
alimentation,0.602
alive,0.731
allegation,0.608
allege,0.587
alleged,0.52
allegiance,0.75
allegorical,0.598
allegory,0.509
alleviate,0.528
alliance,0.769
allied,0.642
alligator,0.645
allocate,0.672
allocation,0.679
allot,0.616
allotment,0.64
allow,0.538
allowable,0.561
allowance,0.591
allowed,0.655
alloy,0.593
allure,0.686
