term,dominance
aaaaaaah,0.291
aaaah,0.282
aardvark,0.437
aback,0.288
abacus,0.485
abalone,0.412
abandon,0.245
abandoned,0.13
abandonment,0.202
abashed,0.307
abatement,0.336
abba,0.48
abbey,0.444
abbot,0.483
abbreviate,0.33
abbreviation,0.345
abdomen,0.471
abdominal,0.445
aberrant,0.431
aberration,0.417
abeyance,0.292
abhor,0.349
abhorrence,0.42
abhorrent,0.474
abject,0.417
abnormal,0.309
abnormality,0.383
aboard,0.481
abominable,0.482
abominate,0.366
abort,0.429
abortion,0.283
abortive,0.28
abracadabra,0.434
abrasion,0.441
abscess,0.349
absence,0.266
absent,0.116
absentee,0.279
absenteeism,0.357
absinthe,0.462
absorption,0.446
abstain,0.427
abstinence,0.429
abstract,0.444
absurd,0.284
absurdity,0.227
abuse,0.469
abused,0.235
aby,0.368
abyss,0.296
accessory,0.445
accident,0.336
accidental,0.307
accidentally,0.333
accord,0.382
accordion,0.361
account,0.472
accounts,0.471
accueil,0.47
accursed,0.345
accusative,0.482
accused,0.42
accusing,0.324
accustomed,0.441
ache,0.312
aching,0.348
achy,0.373
acidity,0.36
acme,0.375
acne,0.308
acorn,0.192
acre,0.423
acrylic,0.42
actuary,0.491
acutely,0.491
addendum,0.418
addict,0.327
addicted,0.483
addiction,0.42
addictive,0.472
addition,0.471
addresses,0.45
adhesive,0.413
adieu,0.342
adipose,0.391
adjacency,0.375
adjoining,0.393
adjourn,0.475
adjournment,0.37
adjunct,0.426
adjuvant,0.456
admixture,0.438
admonition,0.455
ado,0.385
adobe,0.328
adolescence,0.444
adorable,0.457
adorn,0.482
adornment,0.377
adrift,0.23
adulterated,0.37
adulterer,0.407
adversary,0.457
adverse,0.385
aegis,0.462
aeration,0.433
aerial,0.463
afar,0.358
affable,0.452
affecting,0.394
affiche,0.402
affix,0.411
afflict,0.293
afflicted,0.167
affliction,0.392
affluent,0.477
affordable,0.493
afield,0.373
afloat,0.444
afore,0.382
aforementioned,0.408
aforesaid,0.478
afraid,0.245
afresh,0.48
aftermath,0.444
afternoon,0.339
aftershave,0.415
aftertaste,0.455
afterthought,0.349
aga,0.398
agape,0.464
agate,0.483
age,0.498
aged,0.236
aggravate,0.464
aggravated,0.43
aggravates,0.357
agh,0.4
aghast,0.464
aghhh,0.243
aging,0.284
agitated,0.491
agitation,0.447
ago,0.404
agonizing,0.34
agony,0.393
agoraphobia,0.438
agricultural,0.473
agriculture,0.465
aground,0.445
agua,0.436
ahhh,0.241
ahhhhhhhh,0.288
ahoy,0.38
aide,0.434
ail,0.385
ailing,0.153
ailment,0.277
aimless,0.183
air,0.427
airbag,0.433
airborne,0.385
airhead,0.276
airlock,0.447
airs,0.37
airway,0.482
aisle,0.283
ait,0.402
ajar,0.446
aka,0.351
alabaster,0.445
alarmed,0.492
alas,0.279
alb,0.427
albino,0.358
album,0.453
alcohol,0.377
alcoholic,0.361
alcoholism,0.407
alcove,0.356
ale,0.358
alfalfa,0.311
algebraic,0.441
alias,0.333
alien,0.491
alienation,0.462
alike,0.444
alimony,0.464
aliquot,0.404
alkali,0.408
alkaloids,0.402
allay,0.398
allegro,0.453
allergic,0.273
allergy,0.389
alleviation,0.491
alley,0.355
alleyway,0.382
allsmiles,0.43
allusion,0.462
alluvial,0.491
almanac,0.412
almond,0.314
aloha,0.441
alone,0.216
alongside,0.347
aloof,0.302
alpine,0.474
alreadyyyyy,0.351
altar boy,0.35
aluminum,0.434
alumnus,0.422
alveolar,0.367
alzheimers,0.319
amaretto,0.375
amass,0.465
amateur,0.409
amber,0.369
ambience,0.426
ambiguity,0.37
ambiguous,0.358
ambit,0.386
ambivalent,0.482
ambrosia,0.48
amenable,0.406
amiable,0.483
amid,0.256
amidst,0.316
amino,0.433
ammonia,0.409
ammonium,0.368
amnesia,0.308
amorphous,0.349
amp,0.375
ampersand,0.483
amphibian,0.474
amphibious,0.445
amputation,0.483
amuck,0.321
ana,0.314
anaesthesia,0.473
anagram,0.449
anal,0.334
analgesic,0.441
analogue,0.446
anastomosis,0.49
ancient,0.439
ancillary,0.278
anemia,0.31
anemic,0.155
anemone,0.327
anesthesia,0.394
anesthetic,0.482
anew,0.385
angermanagement,0.482
angina,0.464
angiogram,0.465
angle,0.455
angora,0.405
angriest,0.43
angrytweet,0.471
angst,0.333
anguish,0.265
anguished,0.307
angular,0.444
anhydrous,0.355
animus,0.466
ankle,0.234
anklet,0.302
annals,0.424
