term,valence
aaaaaaah,0.479
aardvark,0.427
aback,0.385
abandon,0.052
abandoned,0.046
abandonment,0.128
abashed,0.177
abate,0.255
abatement,0.388
abbot,0.427
abbreviation,0.469
abdomen,0.469
abdominal,0.49
abduct,0.173
abduction,0.062
aberrant,0.146
aberration,0.125
abeyance,0.33
abhor,0.125
abhorrence,0.167
abhorrent,0.229
abject,0.354
ablation,0.418
ablaze,0.24
abnormal,0.137
abnormality,0.092
abolish,0.448
abolition,0.323
abominable,0.12
abominate,0.198
abomination,0.078
aboriginal,0.448
abort,0.153
abortion,0.082
abortive,0.09
abrasion,0.406
abrasive,0.392
abrogate,0.327
abrupt,0.271
abruptly,0.25
abscess,0.154
absence,0.153
absent,0.177
absentee,0.235
absenteeism,0.404
absinthe,0.481
absorb,0.469
absorbed,0.49
absorbing,0.49
abstain,0.385
abstention,0.271
abstinence,0.26
abstract,0.438
abstraction,0.469
absurd,0.188
absurdity,0.115
abuse,0.071
abused,0.021
abusive,0.125
aby,0.385
abysmal,0.25
abyss,0.353
accident,0.125
accidental,0.319
accidentally,0.333
accomplice,0.408
accretion,0.448
accueil,0.45
accumulation,0.479
accursed,0.135
accusation,0.073
accusative,0.198
accuse,0.133
accused,0.13
accuser,0.122
accusing,0.156
acetic,0.333
acetylene,0.306
ache,0.146
aching,0.053
achy,0.167
acid,0.265
acidity,0.156
acme,0.408
acne,0.167
acorn,0.448
acuity,0.469
acute,0.427
acutely,0.417
adamant,0.344
addendum,0.392
adder,0.388
addict,0.075
addicted,0.156
addiction,0.18
addictive,0.302
adieu,0.25
adipose,0.333
adjacency,0.365
adjourn,0.385
adjournment,0.438
adjunct,0.459
admixture,0.45
admonition,0.357
adolescence,0.487
adrift,0.398
adulterated,0.188
adulterer,0.229
adultery,0.12
adversary,0.349
adverse,0.323
adversity,0.276
aegis,0.49
aetiology,0.48
afar,0.396
affect,0.458
affecting,0.35
affiche,0.479
affidavit,0.469
affix,0.438
afflict,0.302
afflicted,0.271
affliction,0.294
affront,0.327
affronted,0.385
afire,0.367
aforementioned,0.49
afraid,0.01
african,0.49
aft,0.48
aftermath,0.312
aftershave,0.406
aftertaste,0.354
afterthought,0.396
aged,0.135
agency,0.46
agent,0.48
agglomeration,0.45
aggravate,0.224
aggravated,0.079
aggravates,0.108
aggravating,0.257
aggravation,0.071
aggresive,0.059
aggression,0.094
aggressive,0.125
aggressively,0.25
